epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.75935,1.58528,0.55932,1,1.07959,0.000408163,0.000408163,0.000408163
2,7.0796,1.04237,0.67161,1,0.85175,0.000820747,0.000820747,0.000820747
3,9.23059,0.91011,0.72034,1,0.78168,0.00122921,0.00122921,0.00122921
4,11.4412,0.80121,0.76695,1,0.67194,0.00123144,0.00123144,0.00123144
5,13.5112,0.78357,0.73941,1,0.6763,0.00122525,0.00122525,0.00122525
6,15.8012,0.6894,0.75212,1,0.79819,0.00121906,0.00121906,0.00121906
7,18.2364,0.62729,0.7839,1,0.63177,0.00121287,0.00121287,0.00121287
8,20.9047,0.56934,0.81992,1,0.6235,0.00120669,0.00120669,0.00120669
9,23.4572,0.57458,0.81568,1,0.58426,0.0012005,0.0012005,0.0012005
10,25.7197,0.56313,0.84958,1,0.56165,0.00119431,0.00119431,0.00119431
11,27.9845,0.53315,0.82839,1,0.51987,0.00118812,0.00118812,0.00118812
12,30.159,0.55452,0.83263,1,0.57236,0.00118194,0.00118194,0.00118194
13,32.6076,0.47945,0.83475,1,0.6633,0.00117575,0.00117575,0.00117575
14,34.865,0.45927,0.82415,1,0.62219,0.00116956,0.00116956,0.00116956
15,36.9472,0.4492,0.83051,1,0.64026,0.00116337,0.00116337,0.00116337
16,39.0706,0.46146,0.83051,1,0.66763,0.00115719,0.00115719,0.00115719
17,41.1049,0.40857,0.81144,1,0.74475,0.001151,0.001151,0.001151
